Unnamed: 0,Title,Organism,Source,Strain/Genotype,Cell/Tissue,Description,Library_Strategy,Ribosome_position,Extraction_Protocol,Tags
GSM1608261,ERSrcEtOH01hr_rna, Homo sapiens,Breast epithelial cell,,breast epithelial,No description available,RNA-seq study,,"For RNA-seq, total RNA was purified from DNase-treated lysates, and ribosomal RNA was depleted with RiboMinus Eukaryote Kit (Invitrogen). RNA-seq libraries were prepared with a tagging-based workflow(Pease and Kinross, 2013). In brief, rRNA-depleted RNA was fragmented at 85°C for 5 min, followed by cDNA synthesis, terminal tagging and PCR amplification with ScriptSeq v2 RNA-Seq Library Preparation Kit (Epicentre).","{'cell line': 'MCF10A-ER-Src', 'cell type': 'breast epithelial', 'rna type': 'Total RNA'}"
GSM1608262,ERSrcEtOH04hr_rna, Homo sapiens,Breast epithelial cell,,breast epithelial,No description available,RNA-seq study,,"For RNA-seq, total RNA was purified from DNase-treated lysates, and ribosomal RNA was depleted with RiboMinus Eukaryote Kit (Invitrogen). RNA-seq libraries were prepared with a tagging-based workflow(Pease and Kinross, 2013). In brief, rRNA-depleted RNA was fragmented at 85°C for 5 min, followed by cDNA synthesis, terminal tagging and PCR amplification with ScriptSeq v2 RNA-Seq Library Preparation Kit (Epicentre).","{'cell line': 'MCF10A-ER-Src', 'cell type': 'breast epithelial', 'rna type': 'Total RNA'}"
GSM1608263,ERSrcEtOH24hr_rna, Homo sapiens,Breast epithelial cell,,breast epithelial,No description available,RNA-seq study,,"For RNA-seq, total RNA was purified from DNase-treated lysates, and ribosomal RNA was depleted with RiboMinus Eukaryote Kit (Invitrogen). RNA-seq libraries were prepared with a tagging-based workflow(Pease and Kinross, 2013). In brief, rRNA-depleted RNA was fragmented at 85°C for 5 min, followed by cDNA synthesis, terminal tagging and PCR amplification with ScriptSeq v2 RNA-Seq Library Preparation Kit (Epicentre).","{'cell line': 'MCF10A-ER-Src', 'cell type': 'breast epithelial', 'rna type': 'Total RNA'}"
GSM1608264,ERSrcTAM00hr_rna, Homo sapiens,Breast epithelial cell,,breast epithelial,No description available,RNA-seq study,,"For RNA-seq, total RNA was purified from DNase-treated lysates, and ribosomal RNA was depleted with RiboMinus Eukaryote Kit (Invitrogen). RNA-seq libraries were prepared with a tagging-based workflow(Pease and Kinross, 2013). In brief, rRNA-depleted RNA was fragmented at 85°C for 5 min, followed by cDNA synthesis, terminal tagging and PCR amplification with ScriptSeq v2 RNA-Seq Library Preparation Kit (Epicentre).","{'cell line': 'MCF10A-ER-Src', 'cell type': 'breast epithelial', 'rna type': 'Total RNA'}"
GSM1608265,ERSrcTAM01hr_rna, Homo sapiens,Breast epithelial cell,,breast epithelial,No description available,RNA-seq study,,"For RNA-seq, total RNA was purified from DNase-treated lysates, and ribosomal RNA was depleted with RiboMinus Eukaryote Kit (Invitrogen). RNA-seq libraries were prepared with a tagging-based workflow(Pease and Kinross, 2013). In brief, rRNA-depleted RNA was fragmented at 85°C for 5 min, followed by cDNA synthesis, terminal tagging and PCR amplification with ScriptSeq v2 RNA-Seq Library Preparation Kit (Epicentre).","{'cell line': 'MCF10A-ER-Src', 'cell type': 'breast epithelial', 'rna type': 'Total RNA'}"
GSM1608266,ERSrcTAM04hr_rna, Homo sapiens,Breast epithelial cell,,breast epithelial,No description available,RNA-seq study,,"For RNA-seq, total RNA was purified from DNase-treated lysates, and ribosomal RNA was depleted with RiboMinus Eukaryote Kit (Invitrogen). RNA-seq libraries were prepared with a tagging-based workflow(Pease and Kinross, 2013). In brief, rRNA-depleted RNA was fragmented at 85°C for 5 min, followed by cDNA synthesis, terminal tagging and PCR amplification with ScriptSeq v2 RNA-Seq Library Preparation Kit (Epicentre).","{'cell line': 'MCF10A-ER-Src', 'cell type': 'breast epithelial', 'rna type': 'Total RNA'}"
GSM1608267,ERSrcTAM24hr_rna, Homo sapiens,Breast epithelial cell,,breast epithelial,No description available,RNA-seq study,,"For RNA-seq, total RNA was purified from DNase-treated lysates, and ribosomal RNA was depleted with RiboMinus Eukaryote Kit (Invitrogen). RNA-seq libraries were prepared with a tagging-based workflow(Pease and Kinross, 2013). In brief, rRNA-depleted RNA was fragmented at 85°C for 5 min, followed by cDNA synthesis, terminal tagging and PCR amplification with ScriptSeq v2 RNA-Seq Library Preparation Kit (Epicentre).","{'cell line': 'MCF10A-ER-Src', 'cell type': 'breast epithelial', 'rna type': 'Total RNA'}"
GSM1608268,ERSrcTAM00hr_chx_rep1, Homo sapiens,Breast epithelial cell,,breast epithelial,Cycloheximide Treatment,Ribo-seq study,Initiating,"For ribosome profiling, cells were pretreated with cycloheximide (100 µg/ml; Sigma-Aldrich) for 90 seconds or harringtonine (2 µg/ml; Santa Cruz) for 5 minutes, and detergent lysis was then performed with flash-freezing in liquid nitrogen. DNase I-treated lysates were then treated with RNase I, and ribosome-protected fragments were purified as previously described (Ingolia et al., 2012). For ribosome profiling, ribosome-protected fragments were subjected to Illumina TruSeq library construction as previously described (Ingolia et al., 2012).","{'cell line': 'MCF10A-ER-Src', 'cell type': 'breast epithelial', 'rna type': 'Ribosome protected fragments'}"
GSM1608269,ERSrcTAM01hr_chx_rep1, Homo sapiens,Breast epithelial cell,,breast epithelial,Cycloheximide Treatment,Ribo-seq study,Initiating,"For ribosome profiling, cells were pretreated with cycloheximide (100 µg/ml; Sigma-Aldrich) for 90 seconds or harringtonine (2 µg/ml; Santa Cruz) for 5 minutes, and detergent lysis was then performed with flash-freezing in liquid nitrogen. DNase I-treated lysates were then treated with RNase I, and ribosome-protected fragments were purified as previously described (Ingolia et al., 2012). For ribosome profiling, ribosome-protected fragments were subjected to Illumina TruSeq library construction as previously described (Ingolia et al., 2012).","{'cell line': 'MCF10A-ER-Src', 'cell type': 'breast epithelial', 'rna type': 'Ribosome protected fragments'}"
GSM1608270,ERSrcTAM04hr_chx_rep1, Homo sapiens,Breast epithelial cell,,breast epithelial,Cycloheximide Treatment,Ribo-seq study,Initiating,"For ribosome profiling, cells were pretreated with cycloheximide (100 µg/ml; Sigma-Aldrich) for 90 seconds or harringtonine (2 µg/ml; Santa Cruz) for 5 minutes, and detergent lysis was then performed with flash-freezing in liquid nitrogen. DNase I-treated lysates were then treated with RNase I, and ribosome-protected fragments were purified as previously described (Ingolia et al., 2012). For ribosome profiling, ribosome-protected fragments were subjected to Illumina TruSeq library construction as previously described (Ingolia et al., 2012).","{'cell line': 'MCF10A-ER-Src', 'cell type': 'breast epithelial', 'rna type': 'Ribosome protected fragments'}"
