Unnamed: 0,Title,Organism,Source,Strain/Genotype,Cell/Tissue,Description,Library_Strategy,Ribosome_position,Extraction_Protocol,Tags
GSM2049892,MDA-ctrl-RPF-rep1-readlane1, Homo sapiens,MDA-parental,,MDA-parental,ribosome footprinting MDA-ctrl-1-RPF_isoforms.fpkm_tracking,Ribo-seq study,Elongating,RNA was extracted post treatment per manufacturer's instructions Samples were prepared for sequencing per manufacturer's instructions,"{'cell line': 'MDA-parental', 'rep': '1', 'fraction': 'RPF'}"
GSM2049894,MDA-ctrl-RPF-rep1-readlane2, Homo sapiens,MDA-parental,,MDA-parental,ribosome footprinting MDA-ctrl-1-RPF_isoforms.fpkm_tracking,Ribo-seq study,Elongating,RNA was extracted post treatment per manufacturer's instructions Samples were prepared for sequencing per manufacturer's instructions,"{'cell line': 'MDA-parental', 'rep': '1', 'fraction': 'RPF'}"
GSM2049896,MDA-ctrl-TT-rep1-readlane1, Homo sapiens,MDA-parental,,MDA-parental,ribosome footprinting MDA-ctrl-1-TT_isoforms.fpkm_tracking,Ribo-seq study,Elongating,RNA was extracted post treatment per manufacturer's instructions Samples were prepared for sequencing per manufacturer's instructions,"{'cell line': 'MDA-parental', 'rep': '1', 'fraction': 'TT'}"
GSM2049898,MDA-ctrl-TT-rep1-readlane2, Homo sapiens,MDA-parental,,MDA-parental,ribosome footprinting MDA-ctrl-1-TT_isoforms.fpkm_tracking,Ribo-seq study,Elongating,RNA was extracted post treatment per manufacturer's instructions Samples were prepared for sequencing per manufacturer's instructions,"{'cell line': 'MDA-parental', 'rep': '1', 'fraction': 'TT'}"
GSM2049900,MDA-ctrl-RPF-rep2-readlane1, Homo sapiens,MDA-parental,,MDA-parental,ribosome footprinting MDA-ctrl-2-RPF_isoforms.fpkm_tracking,Ribo-seq study,Elongating,RNA was extracted post treatment per manufacturer's instructions Samples were prepared for sequencing per manufacturer's instructions,"{'cell line': 'MDA-parental', 'rep': '2', 'fraction': 'RPF'}"
GSM2049902,MDA-ctrl-RPF-rep2-readlane2, Homo sapiens,MDA-parental,,MDA-parental,ribosome footprinting MDA-ctrl-2-RPF_isoforms.fpkm_tracking,Ribo-seq study,Elongating,RNA was extracted post treatment per manufacturer's instructions Samples were prepared for sequencing per manufacturer's instructions,"{'cell line': 'MDA-parental', 'rep': '2', 'fraction': 'RPF'}"
GSM2049904,MDA-ctrl-TT-rep2-readlane1, Homo sapiens,MDA-parental,,MDA-parental,ribosome footprinting MDA-ctrl-2-TT_isoforms.fpkm_tracking,Ribo-seq study,Elongating,RNA was extracted post treatment per manufacturer's instructions Samples were prepared for sequencing per manufacturer's instructions,"{'cell line': 'MDA-parental', 'rep': '2', 'fraction': 'TT'}"
GSM2049907,MDA-ctrl-TT-rep2-readlane2, Homo sapiens,MDA-parental,,MDA-parental,ribosome footprinting MDA-ctrl-2-TT_isoforms.fpkm_tracking,Ribo-seq study,Elongating,RNA was extracted post treatment per manufacturer's instructions Samples were prepared for sequencing per manufacturer's instructions,"{'cell line': 'MDA-parental', 'rep': '2', 'fraction': 'TT'}"
GSM2049908,MDA-glu-RPF-rep1-readlane1, Homo sapiens,MDA-parental,,MDA-parental,ribosome footprinting MDA-glu-1-RPF_isoforms.fpkm_tracking,Ribo-seq study,Elongating,RNA was extracted post treatment per manufacturer's instructions Samples were prepared for sequencing per manufacturer's instructions,"{'cell line': 'MDA-parental', 'rep': '1', 'fraction': 'RPF'}"
GSM2049910,MDA-glu-RPF-rep1-readlane2, Homo sapiens,MDA-parental,,MDA-parental,ribosome footprinting MDA-glu-1-RPF_isoforms.fpkm_tracking,Ribo-seq study,Elongating,RNA was extracted post treatment per manufacturer's instructions Samples were prepared for sequencing per manufacturer's instructions,"{'cell line': 'MDA-parental', 'rep': '1', 'fraction': 'RPF'}"
